ticker,sector,name
EXC,Utilities,Exelon
EXE,Energy,Expand Energy
EXPD,Industrials,Expeditors International
EXPE,Consumer Discretionary,Expedia Group
EXR,Real Estate,Extra Space Storage
F,Consumer Discretionary,Ford Motor Company
FANG,Energy,Diamondback Energy
FAST,Industrials,Fastenal
FCX,Materials,Freeport-McMoRan
FDS,Financials,FactSet
FDX,Industrials,FedEx
FE,Utilities,FirstEnergy
FFIV,Information Technology,"F5, Inc."
FICO,Information Technology,Fair Isaac
FIS,Financials,Fidelity National Information Services
FISV,Financials,Fiserv
FITB,Financials,Fifth Third Bancorp
FIX,Industrials,Comfort Systems USA
FOX,Communication Services,Fox Corporation (Class B)
FOXA,Communication Services,Fox Corporation (Class A)
FRT,Real Estate,Federal Realty Investment Trust
FSLR,Information Technology,First Solar
FTNT,Information Technology,Fortinet
FTV,Industrials,Fortive
GD,Industrials,General Dynamics
GDDY,Information Technology,GoDaddy
GE,Industrials,GE Aerospace
GEHC,Health Care,GE HealthCare
GEN,Information Technology,Gen Digital
GEV,Industrials,GE Vernova
GILD,Health Care,Gilead Sciences
GIS,Consumer Staples,General Mills
GL,Financials,Globe Life
GLW,Information Technology,Corning Inc.
GM,Consumer Discretionary,General Motors
GNRC,Industrials,Generac
GOOG,Communication Services,Alphabet Inc. (Class C)
GOOGL,Communication Services,Alphabet Inc. (Class A)
GPC,Consumer Discretionary,Genuine Parts Company
GPN,Financials,Global Payments
GRMN,Consumer Discretionary,Garmin
GS,Financials,Goldman Sachs
GWW,Industrials,W. W. Grainger
HAL,Energy,Halliburton
HAS,Consumer Discretionary,Hasbro
HBAN,Financials,Huntington Bancshares
HCA,Health Care,HCA Healthcare
HD,Consumer Discretionary,Home Depot (The)
HIG,Financials,Hartford (The)
HII,Industrials,Huntington Ingalls Industries
HLT,Consumer Discretionary,Hilton Worldwide
HOLX,Health Care,Hologic
HON,Industrials,Honeywell
HOOD,Financials,Robinhood Markets
HPE,Information Technology,Hewlett Packard Enterprise
HPQ,Information Technology,HP Inc.
HRL,Consumer Staples,Hormel Foods
HSIC,Health Care,Henry Schein
HST,Real Estate,Host Hotels & Resorts
HSY,Consumer Staples,Hershey Company (The)
HUBB,Industrials,Hubbell Incorporated
HUM,Health Care,Humana
HWM,Industrials,Howmet Aerospace
IBKR,Financials,Interactive Brokers
IBM,Information Technology,IBM
ICE,Financials,Intercontinental Exchange
IDXX,Health Care,Idexx Laboratories
IEX,Industrials,IDEX Corporation
IFF,Materials,International Flavors & Fragrances
INCY,Health Care,Incyte
INTC,Information Technology,Intel
INTU,Information Technology,Intuit
INVH,Real Estate,Invitation Homes
IP,Materials,International Paper
IQV,Health Care,IQVIA
IR,Industrials,Ingersoll Rand
IRM,Real Estate,Iron Mountain
ISRG,Health Care,Intuitive Surgical
IT,Information Technology,Gartner
ITW,Industrials,Illinois Tool Works
IVZ,Financials,Invesco
J,Industrials,Jacobs Solutions
JBHT,Industrials,J.B. Hunt
JBL,Information Technology,Jabil
JCI,Industrials,Johnson Controls
JKHY,Financials,Jack Henry & Associates
JNJ,Health Care,Johnson & Johnson
JPM,Financials,JPMorgan Chase
KDP,Consumer Staples,Keurig Dr Pepper
KEY,Financials,KeyCorp
KEYS,Information Technology,Keysight Technologies
KHC,Consumer Staples,Kraft Heinz
KIM,Real Estate,Kimco Realty
KKR,Financials,KKR & Co.
KLAC,Information Technology,KLA Corporation
KMB,Consumer Staples,Kimberly-Clark
KMI,Energy,Kinder Morgan
KO,Consumer Staples,Coca-Cola Company (The)
KR,Consumer Staples,Kroger
KVUE,Consumer Staples,Kenvue
L,Financials,Loews Corporation
LDOS,Industrials,Leidos
LEN,Consumer Discretionary,Lennar
LH,Health Care,Labcorp
LHX,Industrials,L3Harris
LII,Industrials,Lennox International
LIN,Materials,Linde plc
LLY,Health Care,Lilly (Eli)
LMT,Industrials,Lockheed Martin
LNT,Utilities,Alliant Energy
LOW,Consumer Discretionary,Lowe's
LRCX,Information Technology,Lam Research
LULU,Consumer Discretionary,Lululemon Athletica
LUV,Industrials,Southwest Airlines
LVS,Consumer Discretionary,Las Vegas Sands
LW,Consumer Staples,Lamb Weston
LYB,Materials,LyondellBasell
LYV,Communication Services,Live Nation Entertainment
MA,Financials,Mastercard
MAA,Real Estate,Mid-America Apartment Communities
MAR,Consumer Discretionary,Marriott International
MAS,Industrials,Masco
MCD,Consumer Discretionary,McDonald's
MCHP,Information Technology,Microchip Technology
MCK,Health Care,McKesson Corporation
MCO,Financials,Moody's Corporation
MDLZ,Consumer Staples,Mondelez International
MDT,Health Care,Medtronic
MET,Financials,MetLife
META,Communication Services,Meta Platforms
MGM,Consumer Discretionary,MGM Resorts
MKC,Consumer Staples,McCormick & Company
MLM,Materials,Martin Marietta Materials
MMM,Industrials,3M
MNST,Consumer Staples,Monster Beverage
MO,Consumer Staples,Altria
MOH,Health Care,Molina Healthcare
MOS,Materials,Mosaic Company (The)
MPC,Energy,Marathon Petroleum
MPWR,Information Technology,Monolithic Power Systems
MRK,Health Care,Merck & Co.
MRNA,Health Care,Moderna
MRSH,Financials,Marsh McLennan
MS,Financials,Morgan Stanley
MSCI,Financials,MSCI Inc.
MSFT,Information Technology,Microsoft
MSI,Information Technology,Motorola Solutions
MTB,Financials,M&T Bank
MTCH,Communication Services,Match Group
MTD,Health Care,Mettler Toledo
MU,Information Technology,Micron Technology
NCLH,Consumer Discretionary,Norwegian Cruise Line Holdings
NDAQ,Financials,"Nasdaq, Inc."
NDSN,Industrials,Nordson Corporation
NEE,Utilities,NextEra Energy
NEM,Materials,Newmont
NFLX,Communication Services,Netflix
NI,Utilities,NiSource
NKE,Consumer Discretionary,"Nike, Inc."
NOC,Industrials,Northrop Grumman
NOW,Information Technology,ServiceNow
NRG,Utilities,NRG Energy
NSC,Industrials,Norfolk Southern
NTAP,Information Technology,NetApp
NTRS,Financials,Northern Trust
NUE,Materials,Nucor
NVDA,Information Technology,Nvidia
NVR,Consumer Discretionary,"NVR, Inc."
NWS,Communication Services,News Corp (Class B)
NWSA,Communication Services,News Corp (Class A)
NXPI,Information Technology,NXP Semiconductors
O,Real Estate,Realty Income
ODFL,Industrials,Old Dominion
OKE,Energy,Oneok
OMC,Communication Services,Omnicom Group
ON,Information Technology,ON Semiconductor
ORCL,Information Technology,Oracle Corporation
ORLY,Consumer Discretionary,O’Reilly Automotive
OTIS,Industrials,Otis Worldwide
OXY,Energy,Occidental Petroleum
PANW,Information Technology,Palo Alto Networks
PAYC,Industrials,Paycom
PAYX,Industrials,Paychex
PCAR,Industrials,Paccar
PCG,Utilities,PG&E Corporation
PEG,Utilities,Public Service Enterprise Group
PEP,Consumer Staples,PepsiCo
PFE,Health Care,Pfizer
PFG,Financials,Principal Financial Group
PG,Consumer Staples,Procter & Gamble
PGR,Financials,Progressive Corporation
PH,Industrials,Parker Hannifin
PHM,Consumer Discretionary,PulteGroup
PKG,Materials,Packaging Corporation of America
PLD,Real Estate,Prologis
PLTR,Information Technology,Palantir Technologies
PM,Consumer Staples,Philip Morris International
PNC,Financials,PNC Financial Services
PNR,Industrials,Pentair
PNW,Utilities,Pinnacle West Capital
PODD,Health Care,Insulet Corporation
POOL,Consumer Discretionary,Pool Corporation
PPG,Materials,PPG Industries
PPL,Utilities,PPL Corporation
PRU,Financials,Prudential Financial
PSA,Real Estate,Public Storage
PSKY,Communication Services,Paramount Skydance Corporation
PSX,Energy,Phillips 66
PTC,Information Technology,PTC Inc.
PWR,Industrials,Quanta Services
PYPL,Financials,PayPal
Q,Information Technology,Qnity Electronics
QCOM,Information Technology,Qualcomm
RCL,Consumer Discretionary,Royal Caribbean Group
REG,Real Estate,Regency Centers
REGN,Health Care,Regeneron Pharmaceuticals
RF,Financials,Regions Financial Corporation
RJF,Financials,Raymond James Financial
RL,Consumer Discretionary,Ralph Lauren Corporation
RMD,Health Care,ResMed
ROK,Industrials,Rockwell Automation
ROL,Industrials,"Rollins, Inc."
ROP,Information Technology,Roper Technologies
ROST,Consumer Discretionary,Ross Stores
RSG,Industrials,Republic Services
RTX,Industrials,RTX Corporation
RVTY,Health Care,Revvity
SBAC,Real Estate,SBA Communications
SBUX,Consumer Discretionary,Starbucks
SCHW,Financials,Charles Schwab Corporation
SHW,Materials,Sherwin-Williams
SJM,Consumer Staples,J.M. Smucker Company (The)
SLB,Energy,Schlumberger
SMCI,Information Technology,Supermicro
SNA,Industrials,Snap-on
SNDK,Information Technology,Sandisk
SNPS,Information Technology,Synopsys
SO,Utilities,Southern Company
SOLV,Health Care,Solventum
SPG,Real Estate,Simon Property Group
SPGI,Financials,S&P Global
SRE,Utilities,Sempra
STE,Health Care,Steris
STLD,Materials,Steel Dynamics
STT,Financials,State Street Corporation
STX,Information Technology,Seagate Technology
STZ,Consumer Staples,Constellation Brands
SW,Materials,Smurfit Westrock
SWK,Industrials,Stanley Black & Decker
SWKS,Information Technology,Skyworks Solutions
SYF,Financials,Synchrony Financial
SYK,Health Care,Stryker Corporation
SYY,Consumer Staples,Sysco
T,Communication Services,AT&T
TAP,Consumer Staples,Molson Coors Beverage Company
TDG,Industrials,TransDigm Group
TDY,Information Technology,Teledyne Technologies
TECH,Health Care,Bio-Techne
TEL,Information Technology,TE Connectivity
TER,Information Technology,Teradyne
TFC,Financials,Truist Financial
TGT,Consumer Staples,Target Corporation
TJX,Consumer Discretionary,TJX Companies
TKO,Communication Services,TKO Group Holdings
TMO,Health Care,Thermo Fisher Scientific
TMUS,Communication Services,T-Mobile US
TPL,Energy,Texas Pacific Land Corporation
TPR,Consumer Discretionary,"Tapestry, Inc."
TRGP,Energy,Targa Resources
TRMB,Information Technology,Trimble Inc.
TROW,Financials,T. Rowe Price
TRV,Financials,Travelers Companies (The)
TSCO,Consumer Discretionary,Tractor Supply
TSLA,Consumer Discretionary,"Tesla, Inc."
TSN,Consumer Staples,Tyson Foods
TT,Industrials,Trane Technologies
TTD,Communication Services,Trade Desk (The)
TTWO,Communication Services,Take-Two Interactive
TXN,Information Technology,Texas Instruments
TXT,Industrials,Textron
TYL,Information Technology,Tyler Technologies
UAL,Industrials,United Airlines Holdings
UBER,Industrials,Uber
UDR,Real Estate,"UDR, Inc."
UHS,Health Care,Universal Health Services
ULTA,Consumer Discretionary,Ulta Beauty
UNH,Health Care,UnitedHealth Group
UNP,Industrials,Union Pacific Corporation
UPS,Industrials,United Parcel Service
URI,Industrials,United Rentals
USB,Financials,U.S. Bancorp
V,Financials,Visa Inc.
VICI,Real Estate,Vici Properties
VLO,Energy,Valero Energy
VLTO,Industrials,Veralto
VMC,Materials,Vulcan Materials Company
VRSK,Industrials,Verisk Analytics
VRSN,Information Technology,Verisign
VRTX,Health Care,Vertex Pharmaceuticals
VST,Utilities,Vistra Corp.
VTR,Real Estate,Ventas
VTRS,Health Care,Viatris
VZ,Communication Services,Verizon
WAB,Industrials,Wabtec
WAT,Health Care,Waters Corporation
WBD,Communication Services,Warner Bros. Discovery
WDAY,Information Technology,"Workday, Inc."
WDC,Information Technology,Western Digital
WEC,Utilities,WEC Energy Group
WELL,Real Estate,Welltower
WFC,Financials,Wells Fargo
WM,Industrials,Waste Management
WMB,Energy,Williams Companies
WMT,Consumer Staples,Walmart
WRB,Financials,W. R. Berkley Corporation
WSM,Consumer Discretionary,"Williams-Sonoma, Inc."
WST,Health Care,West Pharmaceutical Services
WTW,Financials,Willis Towers Watson
WY,Real Estate,Weyerhaeuser
WYNN,Consumer Discretionary,Wynn Resorts
XEL,Utilities,Xcel Energy
XOM,Energy,ExxonMobil
XYL,Industrials,Xylem Inc.
XYZ,Financials,"Block, Inc."
YUM,Consumer Discretionary,Yum! Brands
ZBH,Health Care,Zimmer Biomet
ZBRA,Information Technology,Zebra Technologies
ZTS,Health Care,Zoetis
